stn;time;" Globalstrahlung (W/m); Tagesmittel";Gesamtschneehoehe (cm);Gesamtbewoelkung (min);Luftdruck auf Stationshoehe (hpa);Niederschlag (mm);Sonnenscheindauer (min);Durchschnittstemperatur (¡C);Tiefsttemperatur (¡C);Maximaltemperatur (¡C);Relative Luftfeuchtigkeit (%)
PAY;20110109;11;0;83;957.3;13.4;0;5.9;2;9;91.1
PAY;20110110;16;0;100;960.9;0;0;4.1;3;5.1;96.2
PAY;20110111;28;0;100;956.3;0.9;12;4;2.8;5.6;90.2
PAY;20110112;21;0;96;964.7;1;0;5.6;4.2;6.7;83.2
PAY;20110113;43;0;71;964.7;0.2;17;9.2;6.1;11.9;81.6
PAY;20110114;59;0;92;963.8;0.1;160;9;5.8;11.4;79.1
PAY;20110115;83;0;42;969.3;0;454;6.9;1.3;11.4;81.3
PAY;20110116;70;0;4;969.9;0;265;0.3;-2.6;4;97.8
PAY;20110117;75;0;42;969.4;0;309;-0.6;-4.3;3.3;98.3
PAY;20110118;50;0;83;968.8;0;25;1.6;-1.2;4.8;95.2
PAY;20110119;36;0;88;969;0;16;2;-2.7;4.8;78.7
PAY;20110120;50;0;75;966.8;0.2;92;-1.6;-4;1.2;85.7
PAY;20110121;52;0;50;967.6;0;99;-1.3;-2.6;0.3;68.9
PAY;20110122;36;0;71;965.9;0;13;-3.3;-4.4;-2.1;66.1
PAY;20110123;95;0;42;964.8;0;464;-3.8;-7.7;-1;65
PAY;20110124;92;0;8;965.3;0;458;-4.8;-9.6;0.4;80.3
PAY;20110125;63;0;96;960.2;0;112;0.3;-3.3;4.5;73.4
PAY;20110126;67;0;79;951.9;0;165;1;-2.9;5.1;81.8
PAY;20110127;40;0;88;953.4;0;5;0;-4.3;2.8;87
PAY;20110128;38;0;96;956.1;0;0;0.1;-1.5;1.6;82.4
PAY;20110129;94;0;50;955.9;0;361;-0.5;-4.3;2.9;78.2
PAY;20110130;17;0;100;956.5;0;0;-2.5;-3;-2.2;85.3
PAY;20110131;24;0;100;962.3;0;0;-2.5;-3.1;-1.7;83.9
PAY;20110201;22;0;100;967.3;0;0;-3;-3.6;-2.1;88.1
PAY;20110202;73;0;54;970.9;0;259;-3;-6.7;0.5;81
PAY;20110203;59;0;67;972.2;0;46;-2.6;-7.8;1.1;88.3
PAY;20110204;102;0;67;973.7;0;420;3.2;-2.7;9.9;75.5
PAY;20110205;120;0;17;974;0;526;4.8;-0.5;12.1;70
PAY;20110206;120;0;46;972.1;0;519;2.2;-3.2;10.3;71.6
PAY;20110207;124;0;4;967.3;0;539;2.1;-4.6;10.9;72.3
PAY;20110208;120;0;21;965;0;512;2.3;-3.3;10.9;71.5
PAY;20110209;123;0;4;964.4;0;533;1.4;-3.9;8.6;80.5
PAY;20110210;125;0;21;964.6;0;535;2.3;-4.1;10.1;75.2
PAY;20110211;117;0;50;961.3;0;440;4.9;-1.1;14;60.9
PAY;20110212;113;0;50;959.2;0;431;3.9;-2.4;10.1;71.2
PAY;20110213;112;0;58;954;0;403;4.9;0.5;10.7;78.7
PAY;20110214;105;0;71;950.2;1.3;265;4.3;-1.9;10.4;78.2
PAY;20110215;24;0;96;944.9;1.8;0;4.1;1;6.5;93.8
PAY;20110216;22;0;100;941.6;0;0;2;0.3;3.5;96.5
PAY;20110217;97;0;75;943.7;0;290;3.4;-0.7;7.2;85.3
PAY;20110218;112;0;17;954;0;310;2.1;-1.4;7.5;90.5
PAY;20110219;101;0;83;956.4;1.3;240;2.8;-1.6;6.3;84.7
PAY;20110220;25;0;96;954.9;4.1;0;3.8;2.6;5.3;89
PAY;20110221;72;0;88;955.3;0;67;3.9;-0.3;7.3;81
PAY;20110222;74;0;83;955.2;0;33;1.9;-1.3;5.6;85.3
PAY;20110223;117;0;63;964.7;0;289;-0.6;-3;3.5;77
PAY;20110224;45;0;100;967.8;3.1;0;1.1;-1.1;2.5;91.4
PAY;20110225;85;0;88;968.7;0;137;3.7;0.4;10.1;92.3
PAY;20110226;67;0;96;961.1;5.6;66;4.9;1.5;8.8;86.4
PAY;20110227;52;0;96;958.2;1.1;6;4.6;2.6;7.3;80.8
PAY;20110228;44;0;100;961;0;0;3.2;1.2;4.6;84.1
PAY;20110301;59;0;100;963.9;0;114;4.1;2.8;5.7;75.3
PAY;20110302;104;0;54;962;0;276;1.6;-1.5;4.9;69.9
PAY;20110303;164;0;25;964.5;0;548;0.7;-3.5;5.2;70.9
PAY;20110304;129;0;50;967.1;0;407;0.4;-4.8;6.7;83.2
PAY;20110305;156;0;0;963.7;0;455;1.2;-3.8;7.9;83.4
PAY;20110306;152;0;38;963.6;0;414;2.1;-2.5;9.1;78.4
PAY;20110307;122;0;63;968;0;301;1.2;-1.5;5.6;69.9
PAY;20110308;167;0;17;968.6;0;521;3.8;-2.5;12.6;74.9
PAY;20110309;179;0;21;964.6;0;558;5.8;-2.4;13.2;63.1
PAY;20110310;177;0;75;963.6;0;463;8.9;3.6;14.8;55.3
PAY;20110311;186;0;17;961.4;0;621;6.7;-0.3;13.5;72.9
PAY;20110312;92;0;92;953;0;202;5.3;-1.5;10.6;83.1
PAY;20110313;56;0;100;948.7;0;0;7.9;5.1;10.7;75.9
PAY;20110314;169;0;46;956.5;0;544;9.5;3.7;15.5;69
PAY;20110315;162;0;83;953;0;391;7.7;0.4;15.7;75.2
PAY;20110316;82;0;88;945.6;1;4;8.3;3.6;13.5;80.3
PAY;20110317;20;0;100;951.3;1.2;0;8;6.3;9.8;85.8
PAY;20110318;161;0;67;964.7;3;415;7.5;3.4;13;74.5
PAY;20110319;45;0;96;967.3;3.9;7;5.6;2;9;87.6
PAY;20110320;204;0;25;970.3;0;540;4.4;0.2;9.8;67
PAY;20110321;222;0;0;971.3;0;683;5;-1.6;10.8;54.2
PAY;20110322;216;0;38;974.6;0;675;5;-2.5;13;64.3
PAY;20110323;218;0;0;975.7;0;678;6.9;-1.6;15.9;65.2
PAY;20110324;217;0;21;973.5;0;654;8.1;-0.4;16.5;69.1
PAY;20110325;218;0;29;964.2;0;664;10.6;1.7;18.9;61.3
PAY;20110326;154;0;88;958.3;0;212;9.9;3.7;16.7;59.4
PAY;20110327;121;0;96;955.1;1.6;19;9;3.5;14.3;73.6
PAY;20110328;122;0;88;956;2.5;117;9.3;5.3;13.5;86.5
PAY;20110329;178;0;54;957.9;3.8;382;8.7;3;15.3;81.8
PAY;20110330;137;0;92;961.1;0.2;151;10.3;7.6;13.9;76.7
PAY;20110331;75;0;96;965.8;0.9;100;11;8.2;13.4;78
PAY;20110401;208;0;75;967.4;0.1;575;12;6.6;18;79.5
PAY;20110402;249;0;8;961.1;0;716;12.9;4.2;21.8;73.2
PAY;20110403;219;0;79;957.4;6.9;560;14.5;6.2;21.9;66
PAY;20110404;125;0;79;965.5;5;104;9.5;3.2;13.8;76.7
PAY;20110405;226;0;63;970;0;545;8.7;1.3;17.2;75
PAY;20110406;250;0;54;970.9;0;729;12.5;3.3;21.2;69.2
PAY;20110407;256;0;42;969.1;0;692;15.4;6.2;25;69.8
PAY;20110408;266;0;8;965.2;0;719;15;7.2;22.4;68
PAY;20110409;272;0;4;962.9;0;746;15.1;6;23.9;58.9
PAY;20110410;265;0;4;963;0;714;14.3;5.8;22.3;52.8
PAY;20110411;262;0;75;964.5;0;676;13.2;4.8;21.3;61.3
PAY;20110412;81;0;96;966.2;0;32;10.2;4.9;13.5;66.8
PAY;20110413;276;0;54;964.8;0;690;7.1;1.7;12;54.3
PAY;20110414;201;0;75;958.1;0;292;7.4;1.5;12.4;53.6
PAY;20110415;284;0;8;958.1;0;755;7.6;0.6;13.6;53.8
PAY;20110416;283;0;8;961.4;0;732;7.6;-0.9;16.1;61.9
PAY;20110417;287;0;8;963.1;0;748;8.6;0.2;17.1;63.4
PAY;20110418;281;0;25;961.5;0;702;10.6;1;19.4;63.2
PAY;20110419;279;0;33;957.9;0;705;12.1;2.9;20.4;61
PAY;20110420;280;0;29;958.3;0;680;14;5.8;21.5;58.4
PAY;20110421;278;0;25;957.9;0;710;14.6;7.4;21.4;56.5
PAY;20110422;283;0;4;953.3;0;740;13.7;4.9;21.7;58.2
PAY;20110423;227;0;79;954.5;2.2;365;14.4;6.5;21.5;59.6
PAY;20110424;214;0;79;958.8;0;378;14.5;9.4;20.6;75.7
PAY;20110425;292;0;29;957.7;0;745;15.4;6.8;23;60.2
PAY;20110426;297;0;17;957.7;0;744;13.4;5.5;18.8;52.6
PAY;20110427;221;0;63;957;0;341;10.8;4.1;16.5;70.6
PAY;20110428;208;0;83;954;0.8;348;10.3;3.9;17.8;78.7
PAY;20110429;207;0;67;950.9;1.5;336;11.2;5.1;17.1;77.4
PAY;20110430;259;0;67;948.2;0;391;11.8;5.3;19.5;74.8
PAY;20110501;311;0;25;949.3;0;756;12.4;3.7;20.9;67.3
PAY;20110502;291;0;50;947.9;1;648;13.7;4.5;23;67.9
PAY;20110503;156;0;75;951.9;8.2;278;11.2;6;15.3;78
PAY;20110504;320;0;29;960;0;738;9.9;3;17.5;64.4
PAY;20110505;331;0;17;963.4;0;814;10.4;0.6;19.4;58.1
PAY;20110506;312;0;29;963.8;0;785;14;3.7;22.9;58.7
PAY;20110507;280;0;63;962.3;0;614;16.2;7.7;23.8;61.4
PAY;20110508;284;0;46;961.9;0;560;17.8;10.4;25.6;57.2
PAY;20110509;318;0;71;964.3;0;791;16.6;6.8;26.2;54.2
PAY;20110510;215;0;96;967.8;0;382;17.1;8.4;24.6;60.8
PAY;20110511;284;0;88;964.8;0;585;18;9.7;26;63.5
PAY;20110512;113;0;88;962.4;15.4;44;14.4;10.6;19;87.6
PAY;20110513;325;0;63;962.1;4.5;717;15.2;9.1;21.1;73.8
PAY;20110514;86;0;96;960.3;11.7;21;12.9;9.1;18.4;83.9
PAY;20110515;263;0;67;965.9;3.9;441;10;6.3;13.4;73.8
PAY;20110516;279;0;50;968.9;0;648;10.6;4.2;15.8;71.3
PAY;20110517;314;0;58;965.5;0;694;13.3;4.4;21.5;72.7
PAY;20110518;337;0;21;961;0;773;15.7;7.1;23.5;63.4
PAY;20110519;304;0;67;960.9;0.4;553;17.3;10.8;24;63.4
PAY;20110520;266;0;75;962.9;0;497;16.7;10.3;22.5;71.2
PAY;20110521;328;0;54;962.9;0;697;17.3;8.8;25.2;65.5
PAY;20110522;264;0;71;963.4;0.1;582;18.3;10.7;25.4;67.2
PAY;20110523;316;0;67;966.9;0;649;17.8;11.2;24.9;64.2
PAY;20110524;341;0;54;966.9;0;807;18.7;9.9;26.4;59.4
PAY;20110525;348;0;13;965.3;0;849;17.6;9.5;24.8;60.7
PAY;20110526;256;0;67;959.2;0;501;19.5;11.4;28.2;58.9
PAY;20110527;125;0;92;960.6;2.8;127;13.1;7.2;17;67.3
PAY;20110528;342;0;42;960.9;0;774;12.8;4.1;19.8;64.1
PAY;20110529;349;0;50;961;0;865;15.8;5.7;25.5;60.7
PAY;20110530;349;0;21;958.5;1.1;816;19.9;8.9;29.1;53.8
PAY;20110531;86;0;92;960.7;17.7;21;13.6;7.9;18.6;86.1
PAY;20110601;62;0;100;964.5;1.3;0;9.6;6.9;11.4;88.7
PAY;20110602;81;0;100;965.9;0;0;13.6;10;17;82.6
PAY;20110603;196;0;92;964.2;0;105;16.5;14;20.1;77
PAY;20110604;271;0;71;958.6;1.5;590;17.8;11.3;24.1;76.9
PAY;20110605;267;0;54;953.8;7.7;657;16.3;9.8;21.8;79
PAY;20110606;308;0;63;951.5;0;517;16.7;11.9;22.4;73.6
PAY;20110607;213;0;96;949.7;2.8;341;15.6;10.1;22.3;80
PAY;20110608;97;0;100;953.6;5.7;0;13.1;10.5;15.5;88.5
PAY;20110609;178;0;88;959.5;0;26;12.8;9.3;17.2;77.6
PAY;20110610;262;0;88;959.4;1.4;318;13.7;6.3;19.8;75.9
PAY;20110611;220;0;92;961.2;0;158;14.5;11.1;18.3;71.1
PAY;20110612;327;0;75;961.3;0.2;709;15.5;8.5;21.5;68.3
PAY;20110613;178;0;92;961.4;0.1;123;15.9;12.1;21.1;75.3
PAY;20110614;328;0;75;962.4;0;645;18;10.6;24;72.7
PAY;20110615;318;0;75;961.9;0;680;19.3;11.1;26;69.8
PAY;20110616;221;0;71;960.3;0.5;403;17.8;11.7;27.1;73.9
PAY;20110617;229;0;92;957.4;20.8;345;17.1;12.3;23.8;82.5
PAY;20110618;108;0;83;956.3;9.6;90;13.8;10.8;16.7;84.8
PAY;20110619;234;0;79;961.4;0.4;257;13.8;9.6;18.2;63.3
PAY;20110620;336;0;63;961.5;0;637;17.8;9.8;24.9;64.3
PAY;20110621;296;0;58;961.4;0;598;20.3;11.9;28.4;66.5
PAY;20110622;179;0;83;960.5;15.6;182;18.8;15.1;26.7;79.4
PAY;20110623;159;0;92;963;0;174;16.2;13.3;20.9;75.6
PAY;20110624;243;0;63;966.6;0;339;15.3;8.9;19.8;62.7
PAY;20110625;348;0;38;969.2;0;764;16.5;7.3;24.4;65.3
PAY;20110626;363;0;13;966.4;0;859;19.7;10.3;28.5;70
PAY;20110627;347;0;21;962.7;0;854;22.8;13.8;31.5;66.9
PAY;20110628;343;0;46;959.5;0;779;24.1;15.5;32;63.2
PAY;20110629;163;0;83;960.9;4.1;129;20.1;14.5;25;76.7
PAY;20110630;276;0;67;964.5;0;431;17;12.9;21.5;67.9
PAY;20110701;307;0;63;963.8;0;653;15.5;8.7;21;59.6
PAY;20110702;361;0;8;959;0;882;14.7;6.4;20.8;56.1
PAY;20110703;368;0;17;957.3;0;893;15.7;5.4;24.5;54.7
PAY;20110704;337;0;58;957.4;0;728;18;6.8;27.9;58.9
PAY;20110705;350;0;17;957.5;0;858;20.8;11.4;29;54
PAY;20110706;233;0;75;955.7;0.3;311;20.1;12;27;59.3
PAY;20110707;249;0;88;954.5;13.7;330;19.7;14.5;25.4;70.3
PAY;20110708;297;0;38;958;0;588;17.7;11.4;23.5;74.3
PAY;20110709;322;0;58;960.9;7.6;675;20.7;13.8;28.7;67.5
PAY;20110710;185;0;92;962;6.2;269;18.5;14.8;23.8;85.8
PAY;20110711;351;0;25;961;0;851;20.1;12.5;27.2;70.1
PAY;20110712;265;0;50;956;10.1;476;21.2;13.9;28.3;79.3
PAY;20110713;89;0;96;955.2;12.8;31;17.6;13.6;20.9;90.9
PAY;20110714;234;0;63;962.2;0;295;15.3;11.2;18.8;66.7
PAY;20110715;328;0;42;963.4;0;807;15.1;7.8;21.5;66
PAY;20110716;330;0;54;956.2;0.8;686;18;7.7;25.7;62.2
PAY;20110717;94;0;79;951.1;32.4;165;15.5;11.8;20.8;79.8
PAY;20110718;230;0;63;952.2;0.2;380;14.3;8.9;19.8;72.3
PAY;20110719;108;0;92;950.3;2.3;110;12.1;7.3;16.5;84.3
PAY;20110720;136;0;88;955.6;1;84;13.6;10.2;18.2;81.7
PAY;20110721;179;0;88;954.6;4.1;188;14.4;10.6;19.9;85.3
PAY;20110722;170;0;92;955.4;1.8;122;16.2;13.4;21.3;79.9
PAY;20110723;247;0;92;955.6;4.1;329;14.8;9.3;19.9;77.2
PAY;20110724;205;0;79;957.4;0;244;12.2;7.7;16.7;73.2
PAY;20110725;235;0;71;954.8;0;243;13.3;6.5;20.5;74.3
PAY;20110726;194;0;92;956.3;0.3;123;15.3;9.2;20.7;77.3
PAY;20110727;230;0;75;960.1;0;263;16.9;11.6;22.7;76.7
PAY;20110728;138;0;92;961.9;4.6;54;15.9;12.3;20.8;86.3
PAY;20110729;298;0;71;961.5;0;543;16.9;10.1;23.5;79.3
PAY;20110730;275;0;58;959.7;0;525;17.7;11.6;22.8;71.6
PAY;20110731;312;0;17;958.3;0;759;16.4;9.9;23.3;73.7
PAY;20110801;321;0;13;958.1;0;815;17.3;9.4;25;73.3
PAY;20110802;305;0;13;959.3;0;755;19.7;10.8;28.3;72.6
PAY;20110803;159;0;75;961.6;0.1;133;21;16.5;26.3;69.5
PAY;20110804;283;0;58;960.9;0;608;21.5;14.9;27;68.6
PAY;20110805;153;0;88;958.8;4;191;19.6;15.9;24.9;79.6
PAY;20110806;125;0;100;953.4;9.7;46;19.1;16.1;23;87.6
PAY;20110807;215;0;83;953.2;1.2;310;19;15.1;23.5;75.8
PAY;20110808;217;0;71;958.1;1.2;355;16.3;11.3;21.3;69.2
PAY;20110809;182;0;83;966.1;0.2;185;14.5;9.9;19.7;75.8
PAY;20110810;314;0;46;967.8;0;817;14.4;7.6;20.8;68.7
PAY;20110811;308;0;38;962.2;0;738;17.3;7.8;26.3;62.6
PAY;20110812;215;0;83;959;0.1;299;18.8;13.3;25.2;64.3
PAY;20110813;291;0;75;956.3;0;723;19.7;11.9;27.4;70.8
PAY;20110814;209;0;71;955;11.5;365;20.1;12.7;27.4;74.1
PAY;20110815;184;0;75;959.8;5.3;245;19.2;15.4;23.5;83.6
PAY;20110816;257;0;46;961.8;0;561;19.7;14.4;26.2;77.9
PAY;20110817;294;0;13;959.8;0;788;20.8;13.4;29.1;76.8
PAY;20110818;223;0;75;959.5;0.3;490;22.9;17;28.6;72.1
PAY;20110819;283;0;25;962.7;0.5;755;24.5;17.9;31.1;61.4
PAY;20110820;281;0;8;964.2;0;762;23.4;16.8;32.1;67.5
PAY;20110821;262;0;25;963;0;654;23.4;15;33;62.8
PAY;20110822;271;0;13;961.1;0.2;711;24.4;15.6;33.5;59.5
PAY;20110823;222;0;58;959.9;0;466;23.6;15.5;32;61.6
PAY;20110824;248;0;50;960;0.7;561;22.4;15.3;30.8;65.6
PAY;20110825;251;0;75;957.9;0;552;21.9;15.9;28.8;73.4
PAY;20110826;191;0;67;954;5.3;419;18.6;10.9;30.1;77.6
PAY;20110827;129;0;83;962.1;1.6;159;12.9;8.9;16.9;79.2
PAY;20110828;282;0;25;963.2;0;758;14;6.4;21.9;72.8
PAY;20110829;226;0;58;960.7;0;443;15.3;9;22.6;72.8
PAY;20110830;263;0;46;958.3;0;639;15.9;9.7;22.7;70.4
PAY;20110831;262;0;54;956.4;5.9;698;18.1;8.9;27.9;67.1
PAY;20110901;242;0;83;957.9;0;594;19.5;15.4;25.6;79.5
PAY;20110902;234;0;63;958.3;0;595;20.9;15.2;28.3;72.5
PAY;20110903;202;0;58;957.3;7.4;488;19.9;13.6;28.3;80.1
PAY;20110904;56;0;100;957.1;21.5;30;18.4;16.8;20.6;94
PAY;20110905;213;0;54;963.5;0;397;16.6;11.1;20.3;72.4
PAY;20110906;253;0;46;966.2;0;709;15.6;8.2;22.7;68.8
PAY;20110907;91;0;88;962.3;0;49;18.1;15;21.8;62
PAY;20110908;189;0;83;960.2;0.9;312;19.1;15.1;23.9;59.6
PAY;20110909;234;0;54;958.9;0;626;19.5;14.7;25.9;76.8
PAY;20110910;240;0;25;957.9;0;695;20.3;13.6;29.3;76.3
PAY;20110911;155;0;67;958.4;0.7;384;19.9;14.5;26.7;73.3
PAY;20110912;240;0;29;962;0;662;18.3;12.4;24.9;63.6
PAY;20110913;219;0;38;961.3;4.1;593;18.8;11.3;25.7;69.2
PAY;20110914;189;0;63;962.2;0;364;17.4;12.3;21.6;76.2
PAY;20110915;186;0;58;962.4;0;396;15.1;10.2;21.3;82.6
PAY;20110916;213;0;46;960.9;0.5;591;17.4;9.3;26.9;81.3
PAY;20110917;111;0;83;958;18.5;165;17.7;15.1;23.1;85.8
PAY;20110918;85;0;67;953.8;11;199;11.5;7.2;16.4;82.7
PAY;20110919;112;0;100;958.7;3;117;10.5;8;14.3;85.4
PAY;20110920;202;0;17;966.3;0;546;10.8;4.5;17.5;82
PAY;20110921;207;0;54;964.4;0;647;12.5;6.3;19.5;84.5
PAY;20110922;181;0;67;963.5;0;433;13.8;8.4;20.7;85.4
PAY;20110923;197;0;42;961;0;528;13.5;8.1;20.5;85.2
PAY;20110924;145;0;79;960.1;0;303;14;9.2;21;90.2
PAY;20110925;193;0;46;963.5;0;612;15.8;10.2;23;81.8
PAY;20110926;196;0;13;967.8;0;630;15.4;9.9;23.8;83
PAY;20110927;190;0;50;970.4;0;621;15.5;8.4;23.3;79.8
PAY;20110928;185;0;17;969.8;0;606;15.2;9.5;22.3;85.6
PAY;20110929;164;0;13;969.4;0;403;15.1;9.8;22;89.2
PAY;20110930;169;0;50;969.2;0;455;16;11.7;21.4;87.6
PAY;20111001;137;0;50;969.3;0;356;14.9;11.2;20.4;92.6
PAY;20111002;143;0;38;968.6;0;363;14.1;9.4;20.8;90.7
PAY;20111003;182;0;17;967.6;0;609;14.7;8.7;22.5;86.6
PAY;20111004;182;0;8;967.9;0;612;14.9;8.6;23.4;81.8
PAY;20111005;178;0;13;967;0;619;13.7;7.9;21.1;79.9
PAY;20111006;122;0;75;961.1;12.6;281;14.7;9.2;21.8;77.9
PAY;20111007;78;0;75;961.4;1.5;129;8.7;5.9;11.9;75.4
PAY;20111008;26;0;100;962.9;4.1;0;7.7;6.6;9.2;85.8
PAY;20111009;99;0;92;965.8;6.7;106;9.2;6.8;12.3;87.3
PAY;20111010;83;0;63;967.7;4.1;151;13.6;9.5;19.6;89.7
PAY;20111011;139;0;42;967.5;0;403;14.2;9.4;18.3;89.4
PAY;20111012;135;0;67;966.1;0;375;12.8;7.8;18.6;85.3
PAY;20111013;157;0;38;967.4;0;579;13.2;9.4;17.6;78.8
PAY;20111014;136;0;58;968.3;0;395;9.6;3.7;13.1;76.8
PAY;20111015;125;0;67;968.4;0;321;7.1;2.5;12.4;86.2
PAY;20111016;89;0;79;968.1;0;166;8.4;4.8;12.9;91.2
PAY;20111017;116;0;50;966.7;0;333;9.7;5.2;14.7;88.3
PAY;20111018;147;0;33;961.7;0;578;10.8;2.8;18;75
PAY;20111019;14;0;96;960.7;12.8;0;9.4;2.7;15;82.1
PAY;20111020;127;0;50;967.3;0;442;5.2;0.8;10.3;80
PAY;20111021;86;0;67;967.3;0;205;2.6;-1.2;8.1;87.3
PAY;20111022;115;0;63;964.6;0;321;3;-1.6;8.9;90.7
PAY;20111023;128;0;54;960.2;0;375;5.3;0.5;10.2;90.3
PAY;20111024;52;0;100;951.7;0;11;4.3;2.2;6.5;96
PAY;20111025;56;0;96;948.3;2.9;28;8.4;4.6;12.2;91.1
PAY;20111026;130;0;29;957.3;0;540;8.5;3.5;14;87.6
PAY;20111027;59;0;75;959;0;99;5.5;1.9;9.4;94.3
PAY;20111028;93;0;58;966.7;0;239;7.3;2.5;13.6;91.8
PAY;20111029;99;0;75;967.6;0;356;10.1;5.8;15.5;86.6
PAY;20111030;91;0;88;965.6;0;248;10.7;7.2;15.6;87.1
PAY;20111031;67;0;67;962.4;0;154;8.5;5.4;12.6;94.7
PAY;20111101;60;0;67;961;0.3;134;9.6;7.6;13.3;94.7
PAY;20111102;56;0;100;958.2;0.1;77;9;7.6;11.9;97.6
PAY;20111103;32;0;100;950.7;0;0;8;6.5;10;96.1
PAY;20111104;22;0;100;948;0.1;0;9.2;7.1;11.6;93.5
PAY;20111105;26;0;96;948.7;0;0;8.8;6.2;11.5;94.3
PAY;20111106;75;0;63;952;0;334;8.3;3.2;14.4;91.9
PAY;20111107;32;0;96;957.2;10.7;0;10;7.7;12.7;94.5
PAY;20111108;23;0;100;959.4;0;1;9.5;8.7;10.9;91.8
PAY;20111109;41;0;71;963.3;0;21;7.7;5.7;9.4;92.7
PAY;20111110;24;0;100;963.5;0;0;6.5;5.6;7.8;95.8
PAY;20111111;28;0;100;964.9;0;0;6.4;5.5;7.9;89.5
PAY;20111112;78;0;42;972.1;0;301;6.7;4.2;9.8;89.7
PAY;20111113;57;0;92;972.8;0;184;5.5;4.2;8.3;92.1
PAY;20111114;59;0;96;967.6;0;130;4.4;2.8;6.5;91.5
PAY;20111115;26;0;100;962.5;0;0;2.2;0.7;3.8;91.8
PAY;20111116;69;0;58;963.5;0;286;2.1;-1.7;5.8;89.1
PAY;20111117;80;0;13;967.2;0;321;1.7;-2.4;7.9;91.4
PAY;20111118;38;0;100;966.4;0;25;1.6;-1;5.1;97.4
PAY;20111119;61;0;88;963.9;0;142;2;-1.6;5.4;92.9
PAY;20111120;49;0;33;963.7;0;175;2.9;-0.3;7.8;92.9
PAY;20111121;84;0;25;960.9;0;426;3.1;-0.3;9.2;92.2
PAY;20111122;34;0;100;961.3;0;0;1.1;-1.1;3.4;98.9
PAY;20111123;31;0;100;967.4;0;0;0.4;-2.1;2.2;99.4
PAY;20111124;13;0;100;973.3;0;0;1.3;0.9;1.7;95
PAY;20111125;47;0;100;972.7;0;54;2.2;0.5;4.2;94.2
PAY;20111126;70;0;58;974;0;253;2;-0.9;7.8;93.3
PAY;20111127;77;0;54;970.2;0;365;2.9;-1.4;7.8;93.4
PAY;20111128;54;0;58;968.3;0;94;2.2;-2.3;6.4;92
PAY;20111129;63;0;50;965.7;0;289;3.7;0.2;8.1;90
PAY;20111130;51;0;63;969.1;0;67;6.2;2.6;10.5;91.9
PAY;20111201;65;0;50;964.7;0;245;5;0.2;13.1;85.7
PAY;20111202;36;0;92;958.8;13.4;61;5.8;1.3;9.2;87.1
PAY;20111203;34;0;100;960.6;3;24;6.4;4.7;8.2;84
PAY;20111204;45;0;92;954.3;9.8;31;9.1;6.1;11.4;83.7
PAY;20111205;39;0;88;954.2;0.3;42;6.2;3;10.6;74.2
PAY;20111206;29;0;100;957.8;1.4;5;4.5;3.1;5.7;81.8
PAY;20111207;16;0;100;960.1;9.5;0;6.5;4.7;8.7;82.8
PAY;20111208;78;0;38;967.3;0;400;5.8;2.8;9.4;78.7
PAY;20111209;31;0;92;960.7;0;0;7.9;4.8;10.3;72.5
PAY;20111210;51;0;83;958.8;0;78;9.5;7.7;12.1;72.8
PAY;20111211;47;0;67;958.7;0;140;5.5;1.9;8.4;87.3
PAY;20111212;15;0;71;957.7;3.5;7;4.3;-0.2;7.2;86
PAY;20111213;23;0;92;955.8;2.5;19;4.2;-0.4;7.5;78.2
PAY;20111214;29;0;92;954;11.6;47;7.1;4.2;10;78.7
PAY;20111215;29;0;100;956.2;5.1;46;5.2;3.3;7.4;77.9
PAY;20111216;9;0;100;940.2;10.7;0;6.3;2.6;9.2;78.8
PAY;20111217;16;0;92;950.6;0.3;0;1.7;0.9;2.9;84.4
PAY;20111218;25;2;92;956.6;0.2;35;0.7;-1.3;1.9;85.2
PAY;20111219;34;1;71;961.9;0.9;110;-2;-6.7;0.1;85.1
PAY;20111220;26;4;100;958.4;0.5;0;0.1;-5.2;2.4;86.5
PAY;20111221;17;1;100;963.6;5.3;0;1.7;0.8;2.6;90.6
PAY;20111222;10;0;100;968.5;2;0;5;2.3;7.1;92.5
PAY;20111223;24;0;100;966.8;1.4;6;5.3;2.7;7.3;93.7
PAY;20111224;35;0;67;970.9;0.5;81;3.2;-2.2;6.9;76.5
PAY;20111225;71;0;8;978.1;0;444;-1.2;-4.4;3.3;87.2
PAY;20111226;71;0;21;979.3;0;434;-1;-4.1;3.6;85.9
PAY;20111227;31;0;100;977.7;0;28;-2.1;-3.7;-0.3;97.5
PAY;20111228;23;0;100;972.3;0;0;-1.4;-3.3;1.9;97.9
PAY;20111229;50;0;79;969.5;2.7;164;2.8;0.6;5.8;76.5
PAY;20111230;29;0;96;962.5;6.5;56;2.3;0.6;3.9;87.8
PAY;20111231;15;0;100;961.2;4;0;4.7;1.5;7.3;89.8
PAY;20120101;41;0;92;962.7;0;20;8.5;6.8;11.4;86.8
PAY;20120102;10;0;92;959.7;7.9;0;7.1;4.1;9.8;83.5
PAY;20120103;60;0;58;967.4;8.2;221;3.9;0.3;6.5;77.6
PAY;20120104;60;0;83;966.1;0.4;231;5.1;2.6;7.4;74.4
PAY;20120105;13;0;100;954.3;18.8;0;4.5;3;6.7;79.5
PAY;20120106;27;0;79;964;0;34;2.4;-0.7;4.2;72.2
PAY;20120107;30;0;96;968.2;0.9;30;1.9;-1.5;4.7;81.6
